tissue_of_origin,n_samples,n_samples_with_ecdna,fraction_with_ecdna
thyroid,2,2,1.0
oesophagus,10,10,1.0
breast,35,26,0.7428571428571429
ovary,23,15,0.6521739130434783
lung,98,59,0.6020408163265306
stomach,21,12,0.5714285714285714
autonomic ganglia,2,1,0.5
pleura,2,1,0.5
urinary tract,7,3,0.42857142857142855
liver,10,4,0.4
prostate,3,1,0.3333333333333333
central nervous system,15,5,0.3333333333333333
haematopoietic and lymphoid tissue,14,4,0.2857142857142857
endometrium,11,3,0.2727272727272727
pancreas,11,3,0.2727272727272727
kidney,8,2,0.25
large intestine,23,4,0.17391304347826086
skin,19,2,0.10526315789473684
bone,1,0,0.0
small intestine,1,0,0.0
soft tissue,7,0,0.0
upper aerodigestive tract,6,0,0.0
