chrom1	pos1	chrom2	pos2	sv_type	read_support	features	orientation	pos1_flanking_coordinate	pos2_flanking_coordinate	homology_length	homology_sequence
chr8	32591959	chr8	32845628	duplication-like	12	None	-+	32591960	32845627	None	None
chr11	68207064	chr11	68208274	duplication-like	6	None	-+	68207065	68208273	None	None
chr11	68515205	chr11	68643937	duplication-like	6	ecDNA	-+	68515206	68643936	None	None
chr11	68515352	chr11	68644358	deletion-like	7	ecDNA	+-	68515351	68644359	None	None
chr11	69590784	chr8	33162112	interchromosomal	5	None	++	69590783	33162111	None	None
chr11	69663431	chr8	33161919	interchromosomal	10	None	+-	69663430	33161920	None	None
chr11	69665708	chr11	69665708	foldback	8	ecDNA	--	69665709	69665709	None	None
chr11	69691381	chr8	32593111	interchromosomal	5	None	+-	69691380	32593112	None	None
chr11	70448678	chr11	70452166	deletion-like	13	ecDNA	+-	70448677	70452167	None	None
chr11	68339861	chr11	70508584	duplication-like	12	ecDNA	-+	68339862	70508583	None	None
chr11	69260801	chr11	73811449	inversion	8	None	--	69260802	73811450	None	None
chr11	74527351	chr11	75035260	inversion	6	None	++	74527350	75035259	None	None
chr11	74975663	chr11	75096998	deletion-like	21	ecDNA	+-	74975662	75096999	None	None
chr11	77325221	chr8	32845641	interchromosomal	8	None	--	77325222	32845642	None	None
chr11	69059706	chr11	77743489	inversion	6	None	++	69059705	77743488	None	None
chr11	77898118	chr8	32845875	interchromosomal	11	None	-+	77898119	32845874	None	None
chr11	69045656	chr11	78380899	deletion-like	11	None	+-	69045655	78380900	None	None
chr11	73811220	chr11	78423045	inversion	4	None	++	73811219	78423044	None	None
chr11	77965372	chr11	78423318	deletion-like	7	ecDNA	+-	77965371	78423319	None	None
chr11	78759536	chr8	33170318	interchromosomal	5	None	++	78759535	33170317	None	None
chr11	78759594	chr8	32593808	interchromosomal	11	None	-+	78759595	32593807	None	None
chr11	77897199	chr11	78792282	inversion	5	ecDNA	++	77897198	78792281	None	None
chr11	78802872	chr8	32593855	interchromosomal	4	None	--	78802873	32593856	None	None
chr11	69590785	chr11	78802965	duplication-like	7	None	-+	69590786	78802964	None	None
chr11	78792340	chr11	78817391	duplication-like	4	ecDNA	-+	78792341	78817390	None	None
chr11	68491431	chr11	79272445	inversion	4	None	++	68491430	79272444	None	None
chr11	74415738	chr11	79981242	duplication-like	15	ecDNA	-+	74415739	79981241	None	None
