chrom1	pos1	chrom2	pos2	sv_type	read_support	features	orientation	pos1_flanking_coordinate	pos2_flanking_coordinate	homology_length	homology_sequence
chr14	29100504	chr14	29104810	foldback	4	ecDNA	++	29100503	29104809	None	None
chr14	29100779	chr14	29107030	foldback	6	ecDNA	++	29100778	29107029	None	None
chr14	29105372	chr14	29385275	inversion	4	ecDNA	--	29105373	29385276	None	None
chr14	29100116	chr14	29385275	inversion	31	ecDNA	--	29100117	29385276	None	None
chr14	29100584	chr14	29385275	deletion-like	6	ecDNA	+-	29100583	29385276	None	None
chr14	29385479	chr14	29386402	foldback	10	ecDNA	--	29385480	29386403	None	None
chr14	29385954	chr14	29387409	foldback	30	ecDNA	++	29385953	29387408	None	None
chr14	29386684	chr14	29387602	deletion-like	4	ecDNA	+-	29386683	29387603	None	None
chr14	29102565	chr14	29388527	inversion	6	ecDNA	++	29102564	29388526	None	None
chr14	29529138	chr14	29744800	inversion	9	None	--	29529139	29744801	None	None
chr14	29757516	chr14	30057664	deletion-like	14	ecDNA	+-	29757515	30057665	None	None
chr14	30251915	chr14	30463085	deletion-like	6	ecDNA	+-	30251914	30463086	None	None
chr14	30057091	chr14	30464371	inversion	18	ecDNA	--	30057092	30464372	None	None
chr14	29780922	chr14	30479663	duplication-like	10	ecDNA	-+	29780923	30479662	None	None
chr14	30115595	chr14	30562912	duplication-like	24	ecDNA	-+	30115596	30562911	None	None
chr14	30007268	chr14	30856913	inversion	5	ecDNA	--	30007269	30856914	None	None
chr14	28784725	chr14	31307690	deletion-like	4	ecDNA	+-	28784724	31307691	None	None
chr14	29107532	chr14	31821309	deletion-like	18	ecDNA	+-	29107531	31821310	None	None
chr14	28142918	chr14	31958762	duplication-like	4	ecDNA	-+	28142919	31958761	None	None
chr14	31342244	chr14	32254517	duplication-like	35	ecDNA	-+	31342245	32254516	None	None
chr14	30119109	chr14	32336756	inversion	4	ecDNA	++	30119108	32336755	None	None
chr14	31946691	chr14	32457715	inversion	20	ecDNA	--	31946692	32457716	None	None
chr14	29699431	chr14	32490062	duplication-like	5	ecDNA	-+	29699432	32490061	None	None
chr14	27990295	chr14	32645257	duplication-like	20	ecDNA	-+	27990296	32645256	None	None
chr14	32038268	chr14	32653733	duplication-like	5	None	-+	32038269	32653732	None	None
chr14	32866180	chr14	33033815	inversion	9	None	++	32866179	33033814	None	None
chr14	32866180	chr14	33285350	deletion-like	3	None	+-	32866179	33285351	None	None
chr14	32695262	chr14	33531373	deletion-like	5	None	+-	32695261	33531374	None	None
chr14	34044819	chr14	34045627	deletion-like	20	None	+-	34044818	34045628	None	None
chr14	32813801	chr14	34355359	deletion-like	3	None	+-	32813800	34355360	None	None
chr14	32645289	chr14	36110724	inversion	5	unknown	--	32645290	36110725	None	None
chr14	34363763	chr14	36118490	inversion	4	None	++	34363762	36118489	None	None
chr14	33750385	chr14	36131227	duplication-like	3	None	-+	33750386	36131226	None	None
