chrom1	pos1	chrom2	pos2	sv_type	read_support	features	orientation	pos1_flanking_coordinate	pos2_flanking_coordinate	homology_length	homology_sequence
chr5	93703449	chr6	89925479	interchromosomal	7	None	+-	93703448	89925480	None	None
chr5	93703458	chr6	89858278	interchromosomal	5	None	-+	93703459	89858277	None	None
chr6	89213850	chr6	89214218	foldback	6	None	++	89213849	89214217	None	None
chr6	89485035	chr6	89486947	foldback	7	unknown	++	89485034	89486946	None	None
chr6	89486916	chr6	89490125	foldback	5	unknown	++	89486915	89490124	None	None
chr6	89223913	chr6	89858090	inversion	3	unknown	--	89223914	89858091	None	None
chr6	89995570	chr6	92021321	deletion-like	18	unknown	+-	89995569	92021322	None	None
chr6	90036109	chr6	92147207	inversion	3	unknown	++	90036108	92147206	None	None
chr6	92507747	chr6	92516943	duplication-like	6	unknown	-+	92507748	92516942	None	None
chr6	92765354	chr6	92769846	foldback	41	BFB	--	92765355	92769847	None	None
chr6	92931390	chr6	92934074	foldback	12	BFB	++	92931389	92934073	None	None
